organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
Action to Cure Kidney Cancer,NGO,,,,,RMR,150 West 75th Street,Suite 4,New York,NY,10023,,,,,,501(c)(3),,Action to Cure Kidney Cancer (ACKC) is a non-profit organization dedicated to raising awareness of kidney cancer and funding research to find a cure.,http://www.ackc.org/,https://twitter.com/ACKCancer,https://www.facebook.com/ActionToCureKidneyCancer,https://www.linkedin.com/company/action-to-cure-kidney-cancer,,https://vimeo.com/channels/ackc
Adenoid Cystic Carcinoma Research Foundation,NGO,,,,,RMR,P.O. Box 442,,Needham,MA,02494,,,,,,501(c)(3),,Adenoid Cystic Carcinoma Research Foundation. Bringing hope by making breakthroughs towards a cure for this rare cancer.,http://www.accrf.org/,https://twitter.com/accrf_org,https://www.facebook.com/accoi/,,,
Advanced Initiatives in Medical Simulation,NGO,,,,,FAHRQ,Po Box 15850 ,,Washington,DC,20003,,,,,,501(c)(6),,"Advanced Initiatives in Medical Simulation (AIMS) is a coalition of individuals and organizations committed to promoting medical simulation as a way to improve patient safety, reduce medical errors, ensure provider competency, train people to respond to public emergencies and combat situations, and reduce health care costs.",http://www.medsim.org (doesn't work),,https://www.facebook.com/Advanced-Initiatives-in-Medical-Simulation-400758195362/timeline,,,
Advanced Medical Technology Association (AdvaMed),NGO,,,,,"UMR, RMR","701 Pennsylvania Ave, NW",Ste 800,Washington,DC,20004-2654,,,,,,501(c)(6),"Industry, Health & Medical Sciences",AdvaMed is a medical device trade association. Its membership are medical technology companies that collectively represent 80% of U.S. medical technology firms in the US.,http://advamed.org/,https://twitter.com/advamedupdate,https://www.facebook.com/AdvaMed,https://www.linkedin.com/company/79166,,https://www.youtube.com/user/AdvaMedUpdate
Advanced Technical Intelligence Association,NGO,,,,,Innovation Imperative,1616 N Ft Myer Dr,Ste 1000,Arlington,VA,22209,,,,,,,,"Founded in 1999, the Association provides education, awareness and training to the intelligence community. Members range from the largest aerospace corporations to small businesses, all with a common interest in advancing the maturity, applications, and benefits of MASINT technologies.",http://www.atia-assn.org,,,,,
Advocates for Youth,NGO,,,,,"CDCC, FNICHD ",2000 M Street Nw ,,Washington,DC,20036,,,,,,501(c)(3),,Advocates for Youth champions efforts that help young people make informed and responsible decisions about their reproductive and sexual health. ,http://www.advocatesforyouth.org/,https://twitter.com/advocatestweets,https://www.facebook.com/Advocates4Youth,,,
Aerospace Industries Association,NGO,,,,,"TFAI, Innovation Deficit, R&DTC, COMPETES, Innovation Imperative",1000 Wilson Blvd,Ste 1700,Arlington,VA,22209-3928,,,,,,501(c)(6),"Aerospace, Defense",AIA is the premier trade association representing major aerospace and defense manufacturers and suppliers in the United States.,http://www.aia-aerospace.org/,https://twitter.com/AIAspeaks,https://www.facebook.com/AIA.Aerospace,https://www.linkedin.com/company/aerospace-industries-association,,https://www.youtube.com/user/AerospaceIndustries
Afterschool Alliance,NGO,,,,,CNSF,"1616 H St, NW",Ste 820,Washington,DC,20006,,,,,,501(c)(3),STEM Education,"Afterschool Alliance is an alliance of public, private and nonprofit groups committed to raising awareness and expanding resources for afterschool programs (including those in STEM education).",http://www.afterschoolalliance.org/,https://twitter.com/afterschool4all,https://www.facebook.com/afterschoolalliancedc,https://www.linkedin.com/company/afterschool-alliance,,https://www.youtube.com/user/afterschool4all
Agricultural and Applied Economics Association,NGO,,,,,"Innovation Imperative, FBLS",555 E Wells St,Ste 1100,Milwaukee,WI,53202,,,,,,501(c)(3),Social Science,"AAEA is a nonprofit association serving the professional interests of agricultural and applied economics. AAEA members are employed by academia, government and industry and engage in a variety of teaching, research and extension/outreach activities.",https://www.aaea.org/,https://twitter.com/AAEA_Economics,https://www.facebook.com/AAEAonFB,https://www.linkedin.com/company/agricultural-&-applied-economics-association,,
Agricultural Retailers Association (ARA),NGO,,,,,NCFAR,1156 15th Street NW,Suite 500,Washington,DC,20005,,,,,,501(c)(6) ,,ARA serves as the voice for agricultural retailers and distributors.,http://www.aradc.org/home,https://twitter.com/AgRetailers,https://www.facebook.com/AgriculturalRetailersAssociation,https://www.linkedin.com/company/agricultural-retailers-association?trk=top_nav_home,,https://www.youtube.com/channel/UCQWGEDKlhaVF0y_TePvxt4g
AIDS Action,NGO,,,,,RMR,,,,,,,,,,,501(c)(3),,Supporting people living with HIV/AIDS.,http://www.aidsactionbaltimore.org/,,https://www.facebook.com/aidsactionbaltimore/,https://www.linkedin.com/company/aids-action-baltimore,,
AIDS Action Baltimore,NGO,,,,,RMR,10 East Eager St,,Baltimore,MD,21202,,,,,,501(c)(3),,Supporting people living with HIV/AIDS.,http://www.aidsactionbaltimore.org/,,https://www.facebook.com/aidsactionbaltimore/,https://www.linkedin.com/company/aids-action-baltimore,,
AIDS Alliance for Children Youth and Families,NGO,,,,,"CDCC, CPR",17 Davis Blvd ,Suite 403,Tampa,FL,33606-3438,"1705 Desales St,. NW",Suite 700,Washington,DC,20036,501(c)(3),,"AIDS Alliance for Children, Youth & Families advances the partnership between consumers and providers. We are the voice of women, children, youth, and families living with and affected by HIV and AIDS.",http://www.washingtonpeacecenter.org/node/4820,,https://www.facebook.com/AIDS-Alliance-for-Children-Youth-Families-162896157070804/,,,
AIDS Foundation of Chicago,NGO,,,,,CDCC,200 W Jackson Blvd,Suite 2200,Chicago,IL,60606-6954,,,,,,501(c)(3),,"For thirty years, the AIDS Foundation of Chicago (AFC) has led the fight for HIV prevention and treatment services in Illinois. Learn more about our work.",http://www.aidschicago.org/#firstSlide,https://twitter.com/aidschicago,https://www.facebook.com/aidschicago,,,https://www.youtube.com/user/AIDSChicagoNPO
AIDS Institute,NGO,,,,,"NDD, CPR",17 Davis Blvd Ste 403 ,,Tampa,FL,33606-3438,1705 DeSales Street NW,,Washington,DC,20036,501(c)(3),,"The AIDS Institute (TAI) began as a grass roots community advocacy effort in the mid 1980s. In 1992, this advocacy network became incorporated as Florida AIDS Action, a nonprofit organization. Over the years, TAI expanded its vision to become a leading national public policy research, advocacy, and education agency with offices in Tampa, and Washington, DC. Affiliated with the Division of Infectious Diseases and International Medicine at the University of South Florida College of Medicine, The AIDS Institute remains focused on HIV/AIDS while incorporating work on related healthcare issues such as Hepatitis, as well as other infectious and chronic diseases.",http://www.theaidsinstitute.org/,https://twitter.com/AIDSadvocacy,https://www.facebook.com/TheAIDSInstitute/,https://www.linkedin.com/in/bverrette,,https://www.youtube.com/user/AIDSInstitute#g/u
AIDS United,NGO,,,,,"RMR, PHF, CDCC, CHF","1424 K Street, N.W",Suite 200,Washington,DC,20005,,,,,,501(c)(3),,"AIDS United’s mission is to end the AIDS epidemic in the United States.  We seek to fulfill our mission through strategic grantmaking, capacity building, policy/advocacy, technical assistance and formative research.",http://www.aidsunited.org/,https://twitter.com/AIDS_United,https://www.facebook.com/AIDSUnited,https://www.linkedin.com/company/aids-united-formerly-aids-action-council-,,https://www.youtube.com/user/AIDSUnited1
Airlines for America,NGO,,,,,FBLS,1275 Pennsylvania Ave. NW Suite 1300,,Washington,DC,20004,,,,,,,Trade Organization,Airlines for America (A4A) is the industry trade organization for the leading U.S. airlines.,http://airlines.org/,https://twitter.com/airlinesdotorg,https://www.facebook.com/AirlinesForAmerica,https://www.linkedin.com/company/airlines-for-america,,https://www.youtube.com/user/AirlinesforAmerica
Alaska Native Tribal Health Consortium,NGO,,,,,FNCHS,4000 Ambassador Dr ,,Anchorage,AK,99508-5909,,,,,,501(c)(3),,"The Alaska Native Tribal Health Consortium is a non-profit Tribal health organization designed to meet the unique health needs of Alaska Native and American Indian people living in Alaska. In partnership with the more than 150,000 Alaska Native and American people that we serve and the Tribal health organizations of the Alaska Tribal Health System, ANTHC provides world-class health services, which include comprehensive medical services at the Alaska Native Medical Center, wellness programs, disease research and prevention, rural provider training and rural water and sanitation systems construction.",http://anthc.org/,https://twitter.com/anthctoday/,https://www.facebook.com/ANTHCtoday/,,,https://www.youtube.com/user/ANTHCtoday
Alaska SeaLife Center,NGO,,,,,COMPETES,301 Railway Ave,PO Box 1329,Seward,AK,99664,,,,,,,,"The Alaska SeaLife Center is the only facility in Alaska that combines a public aquarium with marine research, education, and wildlife response. ",http://www.alaskasealife.org/,https://twitter.com/alaskasealife,https://www.facebook.com/AlaskaSeaLifeCenter,https://www.linkedin.com/company/alaska-sealife-center,,https://www.youtube.com/user/AKSeaLifeCenter
Albany Area Chamber of Commerce,NGO,,,,,COMPETES, 225 W Broad Ave,,Albany,GA ,31701,,,,,,501(c)(6),,"lbany is the hub of Southwest Georgia for shopping, cultural activities, education as well as the primary trade center for the region. We are fortunate to be home to some of the finest healthcare that covers virtually every medical specialty that one would expect in a metropolitan area. Albany is home to Marine Corps Logistics Base Albany which has established itself as a leader in the adoption of private sector business strategies to accomplish its mission.",http://albanyga.com/,,https://www.facebook.com/AlbanyAreaChamberofCommerce,https://www.linkedin.com/company/albany-area-chamber-of-commerce,,https://www.youtube.com/user/albanyareachamber
Albany-Colonie Regional Chamber (AKA Captial Region Chamber),NGO,,,,,BFRF,5 Computer Dr S ,,Albany,NY,12205-1608,,,,,,501(c)(6),,"Since 1900, Captial Regional Chamber is the largest business organization serving Albany, Schenectady, Rensselaer and Saratoga Counties in Upstate New York.",http://capitalregionchamber.com/,https://twitter.com/capregchamber,https://www.facebook.com/capitalregionchamber,https://www.linkedin.com/company/albany-colonie-regional-chamber,,https://www.youtube.com/user/ALBCOLChamber
Albert Einstein College of Medicine,Universities,,,,,"RMR, AHGMR",1300 Morris Park Avenue,,Bronx,NY,10461,,,,,,501(c)(3),,"Albert Einstein College of Medicine offers one of the nation’s largest programs for medical education. During the 2015-2016 academic year, the College of Medicine is home to 731 M.D. students, 193 Ph.D. students, 106 students in the combined M.D.-Ph.D. program, and 278 postdoctoral research fellows at our Belfer Institute for Advanced Biomedical Studies. More than 9,000 Einstein alumni are among the nation’s foremost clinicians, biomedical scientists and medical educators.",http://www.einstein.yu.edu/,https://twitter.com/EinsteinMed,https://www.facebook.com/EinsteinCollegeofMedicine,https://www.linkedin.com/company/albert-einstein-college-of-medicine,,https://www.youtube.com/user/EinsteinCollegeofMed
Allergy and Asthma Network Mothers of Asthmatics,NGO,,,,,CDCC,8201 Greensboro Dr,Suite 300,McLean,VA,22102-3814,,,,,,501(c)(3),,"Allergy & Asthma Network Mothers of Asthmatics (AANMA) is a leading grassroots patient advocacy organization dedicated to ending the needless death and suffering due to allergies, asthma and related conditions.",http://www.allergyhome.org/blogger/allergy-asthma-network-mothers-of-asthmatics-aanma-and-our-community/,https://twitter.com/allergyhome_org,https://www.facebook.com/allergyhome,,,
Alliance for Academic Internal Medicine,NGO,,,,,"Innovation Deficit, FAHRQ",330 John Carlyle St,Ste 610,Alexandria,VA,22314,,,,,,501(c)(3),"Health & Medical Sciences, Higher Education","AAIM consists of five founding member organizations, the Association of Professors of Medicine (APM), the Association of Program Directors in Internal Medicine (APDIM), the Association of Specialty Professors (ASP), the Clerkship Directors in Internal Medicine (CDIM), and the Administrators of Internal Medicine (AIM). Through these organizations, AAIM represents department chairs and chiefs; clerkship, residency, and fellowship program directors; division chiefs; and academic and business administrators as well as other faculty and staff in departments of internal medicine and their divisions.

AAIM has a 18-person staff that serves the needs of these organizations and members. The staff is organized around teams focused on academic affairs and aging; educational programs and communications; membership, governance, and information technology; and finance, administration, and human resources. These teams organize events, lobby, manage grants, publish manuals, deliver web services, conduct surveys, recruit and retain members, and provide a myriad of other services to the associations.",http://www.im.org/,https://twitter.com/AAIMOnline,https://www.facebook.com/AAIMonline,https://www.linkedin.com/company/alliance-for-academic-internal-medicine,,
Alliance for Aging Research,NGO,,,,,"AHGMR, RMR, FAHRQ, FNCHS, FNIA, NDD, CPR","1700 K St, NW",Ste 740,Washington,DC,20006,,,,,,501(c)(3),Health & Medical Sciences,"Founded in 1986, the Alliance is an advocacy organization dedicated to accelerating scientific research to improve health and human aging.",http://www.agingresearch.org/,https://twitter.com/Aging_Research,https://www.facebook.com/AllianceforAgingResearch,https://www.linkedin.com/company/alliance-for-aging-research,,https://www.youtube.com/user/allianceforaging
Alliance for Cancer Gene Therapy,NGO,,,,,RMR,96 Cummings Point Road,,Stamford,CT,06902,,,,,,501(c)(3),,Alliance for Cancer Gene Therapy (ACGT) supports breakthrough cancer gene and cell research and clinical trials. 100% of donations support research/treatment.,http://www.acgtfoundation.org/,https://twitter.com/ACGTFoundation,https://www.facebook.com/acgtfoundation,https://www.linkedin.com/company/alliance-for-cancer-gene-therpay?trk=top_nav_home,,https://www.youtube.com/user/ACGTFoundation
Alliance for Healthy Homes,NGO,,,,,CDCC,10320 Little Patuxent Pkwy,Suite 500,Columbia,MD,21044-3346,,,,,,501(c)(3),,"The mission of the Alliance is to promote, support and provide healthy homes and communities for all Minnesotans. ",http://alliancehhc.org/,,,,,
Alliance for Science & Technology Research in America (ASTRA),NGO,,,,,"TFAI, Innovation Imperative, InnovationP, COMPETES, SETWG","Room 320, Othmer Building","1155 16th St, NW",Washington,DC,20036,,,,,,501(c)(3),Innovation & Competitiveness,"ASTRA is a membership organization comprised of universities, corporations, societies and nonprofits and foundations. Its mission is STEM policy research, public education and the convening of experts and thought leaders to improve the nation's R&D, innovation and STEM talent capacity.",http://www.usinnovation.org/,https://twitter.com/usinnovation,https://www.facebook.com/pages/ASTRA/49980582629,,,https://www.youtube.com/user/USInnovation/feed
Alliance of Families Fighting Pancreatic Cancer,NGO,,,,,DDNC,Po Box 2023,,New Kensington,PA,15068-1423,,,,,,501(c)(3),,The Alliance of Families Fighting Pancreatic Cancer (AFFPC) is a partnership of grass-roots foundations and families across the country unified in the quest to defeat pancreatic cancer.,http://affpc.org/,https://twitter.com/OfficialAFFPC,https://www.facebook.com/affpc,,,https://www.youtube.com/channel/UC_Ptlq3Dmg2GijytgzKkyDg
Alliance of Genetic Support Groups,NGO,,,,,FNICHD,,,,,,,,,,,,,Possibly part of the Genetic Alliance?,,,,,,
Alliance to End Childhood Lead Poisoning,NGO,,,,,CDCC,"227 Massachusetts Avenue, NE,",Suite 200,Washington,DC,20002,,,,,,,,"The Alliance is a national, non-profit public interest organization dedicated exclusively to preventing childhood lead poisoning.",,,,,,
Alpha-1 Foundation,NGO,,,,,"AHGMR, FNCHS",3300 Ponce de Leon Blvd,,Coral Gables,FL,33134,,,,,,,"Health & Medical Sciences, Philantropy",The Alpha-1 Foundation is committed to finding a cure for Alpha-1 Antitrypsin Deficiency and to improving the lives of people affected by Alpha-1 worldwide.,http://www.alpha1.org/,https://twitter.com/alphafriend,https://www.facebook.com/Alpha1Foundation,https://www.linkedin.com/company/alpha-1-foundation,,https://www.youtube.com/user/alphaonefoundation
ALS Association,NGO,,,,,"AHGMR, RMR","1275 K St, NW",Ste 250,Washington,DC,20005,,,,,,,"Health & Medical Sciences, Philantropy",ALS Association leads the fight to treat and cure ALS through global research and nationwide advocacy while providing support to people with Lou Gehrig's Disease and their families.,http://www.alsa.org/,https://twitter.com/alsassociation,https://www.facebook.com/alsassociation,https://www.linkedin.com/grp/home?gid=2805037,,https://www.youtube.com/user/thealsassociation
Altarum Institute,NGO,,,,,FNCHS,3520 Green Court ,,Ann Arbor,MI,48105-1566,"2000 M St. N.W., Suite 400",,Washington,DC,20036,501(c)(3),,"Founded in 1946, Altarum Institute is a nonprofit health systems research and consulting organization. They employ around 400 people.",http://altarum.org/,http://twitter.com/altarum,http://facebook.com/altarum,http://www.linkedin.com/company/altarum,,http://youtube.com/altaruminstitute
Alzheimer’s Association,NGO,,,,,"Innovation Deficit, AHGMR. RMR, PHF, CHF, FNIA",225 N Michigan Ave,Fl 17,Chicago,IL,60601,"1212 New York Ave, NW",Suite 800,Washington,DC,20005-6105,501(c)(3),"Health & Medical Sciences, Philantropy","The Alzheimer's Association works on a global, national and local level to enhance care and support for all those affected by Alzheimer's and other dementias.",http://www.alz.org/,https://twitter.com/alzassociation,https://www.facebook.com/actionalz,https://www.linkedin.com/company/alzheimer's-association,,https://www.youtube.com/user/actionalz
Alzheimer's Foundation of America,NGO,,,,,"RMR, FNIA",322 Eighth Ave,7th Floor,New York,NY,10001,,,,,,501(c)(3),,"Alzheimer's Foundation of America: A leading national nonprofit organization providing optimal care to individuals with dementia, and caregivers.",http://www.alzfdn.org/,https://twitter.com/alzfdn,https://www.facebook.com/AlzheimersFoundationofAmerica,https://www.linkedin.com/company/alzheimer's-foundation-of-america,,https://www.youtube.com/user/AFACARES2009
American Academy for HIV Medicine,NGO,,,,,CPR,1705 DeSales Street NW   Suite 700,,Washington,DC,20036,,,,,,501(c)(3),Health & Medical Sciences,"The American Academy of HIV Medicine is a professional organization that supports the HIV practitioner and promotes accessible, quality care for all Americans living with HIV disease. Our membership of HIV practitioners and credentialed HIV Specialists™, HIV Experts™, and HIV Pharmacists™ provide direct care to more than three-fourths of HIV patients in the US. ",http://www.aahivm.org/,,https://www.facebook.com/American-Academy-of-HIV-Medicine-222162960316/,,,
American Academy of Actuaries,NGO,,,,,FNCHS,1850 M St Nw Ste 300,,Washington,DC,20036-5805,,,,,,501(c)(6),,"The American Academy of Actuaries is a D.C.-based 18,500+ member professional association whose mission is to serve the public and the U.S. actuarial profession. The Academy assists public policymakers on all levels by providing leadership, objective expertise, and actuarial advice on risk and financial security issues. The Academy also sets qualification, practice, and professionalism standards for actuaries credentialed by one or more of the five U.S.-based actuarial organizations in the United States.",http://www.actuary.org/,http://www.twitter.com/Actuary_Dot_Org,http://www.facebook.com/American.Academy.of.Actuaries,http://www.linkedin.com/company/american-academy-of-actuaries?trk=hb_tab_compy_id_41673,,http://www.youtube.com/user/ActuaryDotOrg
American Academy of Arts & Sciences,NGO,,,,,Innovation Imperative,136 Irving St,,Cambridge,MA,02138,,,,,,501(c)(3),Providing research,"The American Academy serves the nation as a champion of scholarship, civil dialogue, and useful knowledge. As one of the country's oldest learned societies and independent policy research centers, the Academy convenes leaders from the academic, business, and government sectors to respond to the challenges facing the nation and the world.",https://www.amacad.org/,https://twitter.com/americanacad,https://www.facebook.com/americanacad,https://www.linkedin.com/company/american-academy-of-arts-and-sciences,,https://www.youtube.com/user/americanacad
American Academy of Child and Adolescent Psychiatry,NGO,,,,,FNICHD,3615 Wisconsin Avenue Nw ,,Washington,DC,20016-3007,,,,,,501(c)(3),,"The American Academy of Child and Adolescent Psychiatry (AACAP) is a non-profit, professional medical association dedicated to promoting mentally healthy children, adolescents and families since 1953.",http://www.aacap.org/,https://twitter.com/aacap,https://www.facebook.com/American-Academy-of-Child-Adolescent-Psychiatry-145459865751/,,,
American Academy of Dermatology Association,NGO,,,,,"RMR, FNIA",930 E. Woodfield Road,,Schaumburg,IL,60173,"1445 New York Avenue, NW",Suite 800 ,Washington,DC,20005,501(c)(6),,"American Academy of Dermatology: the largest, most influential group of dermatologists in the US. Offers tips on keeping skin, hair and nails healthy.",https://www.aad.org/,https://twitter.com/AADskin,https://www.facebook.com/AADskin,https://www.linkedin.com/company/american-academy-of-dermatology,,https://www.youtube.com/user/AcademyofDermatology
American Academy of Family Physicians,NGO,,,,,"PHF, CHF, FAHRQ",11400 Tomahawk Creek Parkway,,Leawood,KS,66211,"1133 Connecticut Ave., NW",Suite 1100,Washington,DC,20036,501(c)(6),,"The American Academy of Family Physicians represents 120,900 family physicians, family medicine residents, and medical students.",http://www.aafp.org/home.html,https://twitter.com/aafp,https://www.facebook.com/familymed,https://www.linkedin.com/company/american-academy-of-family-physicians,,https://www.youtube.com/user/AAFPmedia
American Academy of Neurology,NGO,,,,,Innovation Deficit,201 Chicago Ave,,Minneapolis,MN,55415,,,,,,501(c)(6),Health & Medical Sciences,"AAN is a professional society representing more than 28,000 neurologists and neuroscientists. Its goal is to advance neurology",https://www.aan.com/,https://twitter.com/AANMember,https://www.facebook.com/AmericanAcademyofNeurology?ref=sgm,https://www.linkedin.com/groups?home=&gid=2386034&trk=anet_ug_hm,,https://www.youtube.com/user/AANChannel
American Academy of Nursing,NGO,,,,,NIMHD,1000 Vermont Ave Nw Ste 910 ,,Washington,DC,20005-4903,,,,,,501(c)(3),,"The American Academy of Nursing serves the public and the nursing profession by advancing health policy and practice through the generation, synthesis, and dissemination of nursing knowledge. The Academy's more than 2,200 Fellows are nursing's most accomplished leaders in education, management, practice, and research. They have been recognized for their extraordinary contributions to nursing and health care.",http://www.aannet.org/,https://twitter.com/AAN_Nursing,https://www.facebook.com/americanacademyofnursing/,https://www.linkedin.com/company/american-academy-of-nursing,,
American Academy of Ophthalmology,NGO,,,,,CDCC,655 Beach Street ,,San Francisco,CA,94109-1342,,,,,,501(c)(6),,"The American Academy of Ophthalmology is the world’s largest association of eye physicians and surgeons. A global community of 32,000 medical doctors, we protect sight and empower lives by setting the standards for ophthalmic education and advocating for our patients and the public.",http://www.aao.org/,https://twitter.com/AcademyEyeSmart,https://www.facebook.com/AcademyEyeSmart/,,,https://www.youtube.com/user/geteyesmart
American Academy of Orthopaedic Surgeons,NGO,,,,,"FAHRQ, FNICHD",9400 West Higgins Road ,,Rosemont,IL,60018,,,,,,501(c)(3),,"Founded in 1933, the Academy is the preeminent provider of musculoskeletal education to orthopaedic surgeons and others in the world. ",http://www.aaos.org/,https://twitter.com/aaos1,https://www.facebook.com/AAOS1/,https://www.linkedin.com/company/american-academy-of-orthopaedic-surgeons,,https://www.youtube.com/user/AmerAcadOrthoSurg
American Academy of Orthotists and Prosthetists,NGO,,,,,FNICHD,1331 H St Nw Ste 501 ,,Washington,DC,20005-4760,,,,,,501(c)(3),,"The Academy of Orthotists and Prosthetists represents practitioners, assistants, technicians, fitters, & other professionals in orthotics and prosthetics.",http://www.oandp.org/,https://twitter.com/AcademyofOandP,,,,
American Academy of Pediatrics,NGO,,,,,"AHGMR, PFH, CDCC, CHF, FAHRQ, FNCHS, FNICHD",141 Northwest Point Blvd,,Elk Grove Village,IL,60007-1098,,,,,,501(c)(6),Health & Medical Sciences,"The American Academy of Pediatrics is an organization of 64,000 pediatricians committed to the optimal physical, mental, and social health and well-being for all infants, children and young adults.",https://www.aap.org/en-us/Pages/Default.aspx,https://twitter.com/AmerAcadPeds,https://www.facebook.com/AmerAcadPeds,https://www.linkedin.com/company/162412?trk=tyah,,
